time,latitude,longitude,wave_height,wind_speed,current_speed,current_direction
2025-03-11 00:00:00,12.9716,77.5946,1.2,15.5,0.5,45.0
2025-03-11 00:00:00,13.0716,77.5946,1.3,16.0,0.6,46.0
2025-03-11 00:00:00,12.9716,77.8946,1.1,15.0,0.4,44.0
2025-03-11 00:00:00,13.0716,77.8946,1.4,16.5,0.7,47.0
2025-03-11 00:00:00,12.9716,78.1946,1.3,16.2,0.6,46.0
2025-03-11 00:00:00,13.0716,78.1946,1.4,16.7,0.7,48.0
2025-03-11 00:00:00,12.9716,78.4946,1.2,15.8,0.5,45.0
2025-03-11 00:00:00,13.0716,78.4946,1.5,17.0,0.8,49.0
2025-03-11 00:00:00,12.9716,78.7946,1.3,16.3,0.6,47.0
2025-03-11 00:00:00,13.0716,78.7946,1.6,17.2,0.8,50.0
2025-03-11 00:00:00,12.9716,79.0946,1.4,16.5,0.7,48.0
2025-03-11 00:00:00,13.0716,79.0946,1.7,17.5,0.9,51.0
2025-03-11 00:00:00,12.9716,79.3946,1.5,16.8,0.7,49.0
2025-03-11 00:00:00,13.0716,79.3946,1.8,17.8,1.0,52.0
2025-03-11 00:00:00,12.9716,79.6946,1.6,17.0,0.8,50.0
2025-03-11 00:00:00,13.0716,79.6946,1.9,18.0,1.1,53.0
2025-03-11 00:00:00,12.9716,79.9946,1.7,17.3,0.9,51.0
2025-03-11 00:00:00,13.0716,79.9946,2.0,18.3,1.2,54.0
2025-03-11 00:00:00,13.0827,80.2707,1.5,17.0,0.8,48.0
2025-03-11 00:00:00,13.1827,80.2707,1.6,17.5,0.9,49.0
2025-03-12 00:00:00,12.9716,77.5946,1.3,16.0,0.6,46.0
2025-03-12 00:00:00,13.0716,77.5946,1.4,16.5,0.7,47.0
2025-03-12 00:00:00,12.9716,77.8946,1.2,15.5,0.5,45.0
2025-03-12 00:00:00,13.0716,77.8946,1.5,17.0,0.8,48.0
2025-03-12 00:00:00,12.9716,78.1946,1.4,16.7,0.7,47.0
2025-03-12 00:00:00,13.0716,78.1946,1.5,17.2,0.8,49.0
2025-03-12 00:00:00,12.9716,78.4946,1.3,16.3,0.6,46.0
2025-03-12 00:00:00,13.0716,78.4946,1.6,17.5,0.9,50.0
2025-03-12 00:00:00,12.9716,78.7946,1.4,16.8,0.7,48.0
2025-03-12 00:00:00,13.0716,78.7946,1.7,17.7,0.9,51.0
2025-03-13 00:00:00,12.9716,79.0946,1.5,17.0,0.8,49.0
2025-03-13 00:00:00,13.0716,79.0946,1.8,18.0,1.0,52.0
2025-03-13 00:00:00,12.9716,79.3946,1.6,17.3,0.8,50.0
2025-03-13 00:00:00,13.0716,79.3946,1.9,18.3,1.1,53.0
2025-03-14 00:00:00,12.9716,79.6946,1.7,17.5,0.9,51.0
2025-03-14 00:00:00,13.0716,79.6946,2.0,18.5,1.2,54.0
2025-03-14 00:00:00,12.9716,79.9946,1.8,17.8,1.0,52.0
2025-03-14 00:00:00,13.0716,79.9946,2.1,18.8,1.3,55.0
2025-03-15 00:00:00,13.0827,80.2707,1.6,17.5,0.9,49.0
2025-03-15 00:00:00,13.1827,80.2707,1.7,18.0,1.0,50.0
2025-03-15 00:00:00,12.9716,77.5946,1.4,16.5,0.7,47.0
2025-03-15 00:00:00,13.0716,77.5946,1.5,17.0,0.8,48.0
2025-03-16 00:00:00,12.9716,77.6946,1.3,16.0,0.6,46.0
2025-03-16 00:00:00,13.0716,77.6946,1.6,17.5,0.9,49.0
2025-03-16 00:00:00,13.0827,80.2707,1.7,18.0,1.0,50.0
2025-03-16 00:00:00,13.1827,80.2707,1.8,18.5,1.1,51.0
2025-03-16 00:00:00,13.0827,80.3707,1.9,19.0,1.2,52.0
2025-03-16 00:00:00,13.1827,80.3707,2.0,19.5,1.3,53.0 
